iter	Passed	Remaining
984	80884	165464
985	80953	165356
986	81020	165242
987	81104	165164
988	81187	165083
989	81258	164979
990	81328	164872
991	81382	164734
992	81444	164612
993	81507	164490
994	81563	164356
995	81640	164264
996	81716	164170
997	81785	164063
998	81846	163938
999	81914	163829
1000	81979	163714
1001	82060	163629
1002	82138	163540
1003	82211	163439
1004	82267	163307
1005	82343	163213
1006	82424	163129
1007	82485	163007
1008	82547	162885
1009	82607	162760
1010	82680	162662
1011	82742	162541
1012	82810	162433
1013	82875	162319
1014	82943	162209
1015	83085	162246
1016	83282	162388
1017	83449	162473
1018	83597	162519
1019	83719	162513
1020	83909	162640
1021	84067	162706
1022	84207	162735
1023	84365	162799
1024	84512	162842
1025	84648	162861
1026	84834	162977
1027	84976	163009
1028	85158	163117
1029	85321	163188
1030	85477	163245
1031	85636	163307
1032	85756	163294
1033	85904	163334
1034	86050	163370
1035	86209	163431
1036	86392	163536
1037	86546	163587
1038	86662	163566
1039	86812	163607
1040	86970	163665
1041	87122	163710
1042	87278	163762
1043	87471	163882
1044	87634	163948
1045	87794	164005
1046	87962	164079
1047	88128	164147
1048	88211	164060
1049	88358	164094
1050	88511	164138
1051	88673	164197
1052	88817	164224
1053	88962	164252
1054	89096	164259
1055	89265	164330
1056	89394	164326
1057	89552	164376
1058	89680	164372
1059	89807	164364
1060	89940	164367
1061	90071	164367
1062	90244	164443
1063	90377	164446
1064	90529	164482
1065	90717	164584
1066	90882	164645
1067	91043	164696
1068	91209	164756
1069	91405	164871
1070	91514	164828
1071	91664	164858
1072	91810	164882
1073	91956	164905
1074	92091	164907
1075	92276	164999
1076	92430	165035
1077	92594	165089
1078	92732	165096
1079	92872	165106
1080	93021	165131
1081	93186	165185
1082	93355	165246
1083	93515	165291
1084	93667	165320
1085	93823	165357
1086	94003	165435
1087	94159	165470
1088	94309	165496
1089	94461	165523
1090	94580	165494
1091	94763	165576
1092	94926	165621
1093	95092	165673
1094	95282	165765
1095	95439	165800
1096	95566	165782
1097	95738	165841
1098	95903	165888
1099	96054	165911
1100	96257	166023
1101	96419	166065
1102	96578	166100
1103	96704	166079
1104	96895	166169
1105	97045	166188
1106	97214	166240
1107	97374	166274
1108	97525	166294
1109	97703	166360
1110	97925	166500
1111	98070	166507
1112	98226	166534
1113	98374	166547
1114	98529	166572
1115	98675	166581
1116	98809	166570
1117	98904	166491
1118	99026	166459
1119	99168	166461
1120	99304	166453
1121	99397	166371
1122	99547	166384
1123	99674	166359
1124	99858	166430
1125	100021	166465
1126	100178	166490
1127	100343	166527
1128	100509	166566
1129	100664	166586
1130	100799	166573
1131	100973	166623
1132	101119	166628
1133	101262	166628
1134	101410	166634
1135	101589	166693
